Contact ID,LIN ID,Contact,School Name,Major,Graduation Year
"1","05160eee12a67c8e7d000f5f0bf97947","","King's College London","Master of Science (MSc), Drug Development Science, Msc","2011"
"1","05160eee12a67c8e7d000f5f0bf97947","","Stichting EXIN",", IT-AMBI","2001"
"1","05160eee12a67c8e7d000f5f0bf97947","","Hogere Laboratorium Onderwijs Amersfoort","Ing, Organic Chemistry","1987"
"2","f523e96a28fb979381738de0efbe87fe","","University College Dublin","Bachelor of Engineering (B.E.), Electrical and Electronics Engineering","1982"
"3","81de3efabc21c04e6df4b2987bcb7bc2","","University of Ulster","MBA, Business","1989"
"3","81de3efabc21c04e6df4b2987bcb7bc2","","University of Limerick","BSc, Engineering","1982"
"4","2bdb1dbc10f733ff8f28c67f113d3c1e","","Cork Institute of Technology","","1985"
